Geo__geoid_	Geo_qname	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21111011506"	"Census Tract 115.06, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11506	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 115.06, Jefferson County, Kentucky"	""	""	21	3539	101	999	1181	885	337	29	7
"21111011508"	"Census Tract 115.08, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11508	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 115.08, Jefferson County, Kentucky"	""	""	21	4528	200	1669	1528	647	423	3	58
"21111011509"	"Census Tract 115.09, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11509	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 115.09, Jefferson County, Kentucky"	""	""	21	2642	232	683	1049	420	188	58	12
"21111011513"	"Census Tract 115.13, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11513	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 115.13, Jefferson County, Kentucky"	""	""	21	2989	203	814	1431	290	139	61	51
"21111011514"	"Census Tract 115.14, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11514	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 115.14, Jefferson County, Kentucky"	""	""	21	2788	254	804	935	473	288	34	0
"21111011515"	"Census Tract 115.15, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11515	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 115.15, Jefferson County, Kentucky"	""	""	21	3409	272	797	1332	717	250	30	11
"21111011516"	"Census Tract 115.16, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11516	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 115.16, Jefferson County, Kentucky"	""	""	21	2865	192	784	1270	508	101	10	0
"21111011517"	"Census Tract 115.17, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11517	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 115.17, Jefferson County, Kentucky"	""	""	21	3411	72	939	890	1029	429	19	33
"21111011518"	"Census Tract 115.18, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11518	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 115.18, Jefferson County, Kentucky"	""	""	21	1535	38	187	411	549	278	60	12
"21111011519"	"Census Tract 115.19, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11519	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 115.19, Jefferson County, Kentucky"	""	""	21	3835	28	1123	1323	860	439	37	25
"21111011520"	"Census Tract 115.20, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11520	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 115.20, Jefferson County, Kentucky"	""	""	21	3200	40	436	849	1145	627	77	26
"21111011521"	"Census Tract 115.21, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11521	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 115.21, Jefferson County, Kentucky"	""	""	21	2890	282	612	1009	517	253	104	113
"21111011522"	"Census Tract 115.22, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11522	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 115.22, Jefferson County, Kentucky"	""	""	21	1898	79	632	651	225	243	36	32
"21111011603"	"Census Tract 116.03, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11603	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 116.03, Jefferson County, Kentucky"	""	""	21	3635	138	681	1283	829	500	171	33
"21111011604"	"Census Tract 116.04, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11604	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 116.04, Jefferson County, Kentucky"	""	""	21	1791	92	436	550	452	208	35	18
"21111011605"	"Census Tract 116.05, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11605	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 116.05, Jefferson County, Kentucky"	""	""	21	5507	43	729	1690	1857	812	138	238
"21111011606"	"Census Tract 116.06, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11606	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 116.06, Jefferson County, Kentucky"	""	""	21	1075	61	256	258	303	131	20	46
"21111011706"	"Census Tract 117.06, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11706	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 117.06, Jefferson County, Kentucky"	""	""	21	3014	201	993	1140	442	193	45	0
"21111011707"	"Census Tract 117.07, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11707	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 117.07, Jefferson County, Kentucky"	""	""	21	4526	549	1210	1527	1073	128	21	18
"21111011708"	"Census Tract 117.08, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11708	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 117.08, Jefferson County, Kentucky"	""	""	21	4385	311	1099	1593	726	310	268	78
"21111011709"	"Census Tract 117.09, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11709	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 117.09, Jefferson County, Kentucky"	""	""	21	4157	210	1056	1513	994	260	80	44
"21111011710"	"Census Tract 117.10, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11710	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 117.10, Jefferson County, Kentucky"	""	""	21	1744	174	572	657	213	105	9	14
"21111011711"	"Census Tract 117.11, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11711	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 117.11, Jefferson County, Kentucky"	""	""	21	4618	327	1631	1417	752	444	37	10
"21111011712"	"Census Tract 117.12, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11712	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 117.12, Jefferson County, Kentucky"	""	""	21	2996	170	1142	958	484	177	10	55
"21111011713"	"Census Tract 117.13, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11713	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 117.13, Jefferson County, Kentucky"	""	""	21	1825	193	858	562	189	23	0	0
"21111011800"	"Census Tract 118, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11800	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 118, Jefferson County, Kentucky"	""	""	21	1494	388	405	521	134	39	7	0
"21111011901"	"Census Tract 119.01, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11901	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 119.01, Jefferson County, Kentucky"	""	""	21	785	238	177	354	0	16	0	0
"21111011904"	"Census Tract 119.04, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11904	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 119.04, Jefferson County, Kentucky"	""	""	21	1739	240	763	375	251	108	0	2
"21111011906"	"Census Tract 119.06, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11906	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 119.06, Jefferson County, Kentucky"	""	""	21	2410	174	857	671	635	45	28	0
