Geo__geoid_	Geo_qname	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_GEO_ID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21111010004"	"Census Tract 100.04, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10004	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010004"	"Census Tract 100.04, Jefferson County, Kentucky"	""	""	21	3342	194	608	1016	1016	401	29	78
"21111010005"	"Census Tract 100.05, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10005	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010005"	"Census Tract 100.05, Jefferson County, Kentucky"	""	""	21	3895	325	1128	1217	775	398	23	29
"21111010006"	"Census Tract 100.06, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10006	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010006"	"Census Tract 100.06, Jefferson County, Kentucky"	""	""	21	2641	148	459	983	642	339	36	34
"21111010007"	"Census Tract 100.07, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10007	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010007"	"Census Tract 100.07, Jefferson County, Kentucky"	""	""	21	3516	84	462	801	1098	638	243	190
"21111010008"	"Census Tract 100.08, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10008	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010008"	"Census Tract 100.08, Jefferson County, Kentucky"	""	""	21	3016	201	501	942	831	391	57	93
"21111010102"	"Census Tract 101.02, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10102	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010102"	"Census Tract 101.02, Jefferson County, Kentucky"	""	""	21	3338	67	381	866	965	578	229	252
"21111010103"	"Census Tract 101.03, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10103	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010103"	"Census Tract 101.03, Jefferson County, Kentucky"	""	""	21	2688	176	434	808	680	505	44	41
"21111010104"	"Census Tract 101.04, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10104	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010104"	"Census Tract 101.04, Jefferson County, Kentucky"	""	""	21	2153	38	583	474	774	220	56	8
"21111010309"	"Census Tract 103.09, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10309	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010309"	"Census Tract 103.09, Jefferson County, Kentucky"	""	""	21	3582	56	458	683	1073	877	253	182
"21111010312"	"Census Tract 103.12, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10312	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010312"	"Census Tract 103.12, Jefferson County, Kentucky"	""	""	21	2496	8	144	495	1021	421	279	128
