Geo_FIPS	Geo_QName	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21209040207"	"Census Tract 402.07, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002996"	""	""	""	""	"21"	"209"	""	""	"040207"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040207"	"Census Tract 402.07"	""	""	""	1005	115	218	393	180	94	0	5
"21209040208"	"Census Tract 402.08, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002997"	""	""	""	""	"21"	"209"	""	""	"040208"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040208"	"Census Tract 402.08"	""	""	""	1516	142	565	406	223	114	54	12
"21209040209"	"Census Tract 402.09, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002998"	""	""	""	""	"21"	"209"	""	""	"040209"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040209"	"Census Tract 402.09"	""	""	""	831	104	219	333	96	23	29	27
"21209040210"	"Census Tract 402.10, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002999"	""	""	""	""	"21"	"209"	""	""	"040210"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040210"	"Census Tract 402.10"	""	""	""	1085	140	501	336	101	7	0	0
"21209040301"	"Census Tract 403.01, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003000"	""	""	""	""	"21"	"209"	""	""	"040301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040301"	"Census Tract 403.01"	""	""	""	2230	371	519	659	373	223	64	21
"21209040302"	"Census Tract 403.02, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003001"	""	""	""	""	"21"	"209"	""	""	"040302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040302"	"Census Tract 403.02"	""	""	""	1461	22	238	582	356	161	85	17
"21209040303"	"Census Tract 403.03, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003002"	""	""	""	""	"21"	"209"	""	""	"040303"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040303"	"Census Tract 403.03"	""	""	""	2083	51	549	740	569	130	13	31
"21209040400"	"Census Tract 404, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003003"	""	""	""	""	"21"	"209"	""	""	"040400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040400"	"Census Tract 404"	""	""	""	2536	231	928	809	333	212	1	22
"21209040501"	"Census Tract 405.01, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003004"	""	""	""	""	"21"	"209"	""	""	"040501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040501"	"Census Tract 405.01"	""	""	""	2200	250	961	608	187	167	27	0
"21209040502"	"Census Tract 405.02, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003005"	""	""	""	""	"21"	"209"	""	""	"040502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040502"	"Census Tract 405.02"	""	""	""	3254	180	922	1221	440	410	42	39
