Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21167960400"	"14000US21167960400"	"Census Tract 9604, Mercer County, Kentucky"	"Census Tract 9604, Mercer County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0004364"	""	""	""	""	"21"	"167"	""	""	""	"960400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3244	685	1411	654	316	139	39	0
"21167960500"	"14000US21167960500"	"Census Tract 9605, Mercer County, Kentucky"	"Census Tract 9605, Mercer County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0004365"	""	""	""	""	"21"	"167"	""	""	""	"960500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2460	295	937	738	280	136	51	23
"21169960100"	"14000US21169960100"	"Census Tract 9601, Metcalfe County, Kentucky"	"Census Tract 9601, Metcalfe County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0004366"	""	""	""	""	"21"	"169"	""	""	""	"960100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1730	404	824	276	115	61	50	0
"21169960200"	"14000US21169960200"	"Census Tract 9602, Metcalfe County, Kentucky"	"Census Tract 9602, Metcalfe County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0004367"	""	""	""	""	"21"	"169"	""	""	""	"960200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1946	618	703	361	194	50	20	0
"21169960300"	"14000US21169960300"	"Census Tract 9603, Metcalfe County, Kentucky"	"Census Tract 9603, Metcalfe County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0004368"	""	""	""	""	"21"	"169"	""	""	""	"960300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3256	1156	1469	513	81	22	15	0
"21171990100"	"14000US21171990100"	"Census Tract 9901, Monroe County, Kentucky"	"Census Tract 9901, Monroe County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0004369"	""	""	""	""	"21"	"171"	""	""	""	"990100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1224	351	542	259	45	27	0	0
"21171990200"	"14000US21171990200"	"Census Tract 9902, Monroe County, Kentucky"	"Census Tract 9902, Monroe County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0004370"	""	""	""	""	"21"	"171"	""	""	""	"990200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1818	393	1021	203	160	35	6	0
"21171990300"	"14000US21171990300"	"Census Tract 9903, Monroe County, Kentucky"	"Census Tract 9903, Monroe County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0004371"	""	""	""	""	"21"	"171"	""	""	""	"990300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1876	463	896	365	79	43	30	0
"21171990400"	"14000US21171990400"	"Census Tract 9904, Monroe County, Kentucky"	"Census Tract 9904, Monroe County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0004372"	""	""	""	""	"21"	"171"	""	""	""	"990400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3093	896	1119	559	403	46	39	31
"21173980100"	"14000US21173980100"	"Census Tract 9801, Montgomery County, Kentucky"	"Census Tract 9801, Montgomery County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0004373"	""	""	""	""	"21"	"173"	""	""	""	"980100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2109	440	808	491	201	148	10	11
