Geo__geoid_	Geo__geo_level_	Geo_NAME	Geo_qname	Geo_AREALAND	Geo_AREAWATER	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21019030400"	"SL140"	"Census Tract 304, Boyd County, Kentucky"	"Census Tract 304, Boyd County, Kentucky"	4280440	1353063	1640	187	478	564	139	137	135	0
"21019030500"	"SL140"	"Census Tract 305, Boyd County, Kentucky"	"Census Tract 305, Boyd County, Kentucky"	4202091	841	3062	236	1019	1142	329	293	43	0
"21019030600"	"SL140"	"Census Tract 306, Boyd County, Kentucky"	"Census Tract 306, Boyd County, Kentucky"	6860607	17427	2909	107	722	875	402	637	47	119
"21019030700"	"SL140"	"Census Tract 307, Boyd County, Kentucky"	"Census Tract 307, Boyd County, Kentucky"	2704155	0	2306	174	838	768	385	67	44	30
"21019030800"	"SL140"	"Census Tract 308, Boyd County, Kentucky"	"Census Tract 308, Boyd County, Kentucky"	4664195	0	2655	211	631	1456	237	92	20	8
"21019030900"	"SL140"	"Census Tract 309, Boyd County, Kentucky"	"Census Tract 309, Boyd County, Kentucky"	14111672	14681	3461	434	1198	1364	231	186	19	29
"21019031001"	"SL140"	"Census Tract 310.01, Boyd County, Kentucky"	"Census Tract 310.01, Boyd County, Kentucky"	37785928	291346	828	87	408	203	58	54	18	0
"21019031003"	"SL140"	"Census Tract 310.03, Boyd County, Kentucky"	"Census Tract 310.03, Boyd County, Kentucky"	18064619	15243	2584	549	788	694	370	168	15	0
"21019031004"	"SL140"	"Census Tract 310.04, Boyd County, Kentucky"	"Census Tract 310.04, Boyd County, Kentucky"	21443783	202133	3230	404	1207	1156	310	101	29	23
"21019031101"	"SL140"	"Census Tract 311.01, Boyd County, Kentucky"	"Census Tract 311.01, Boyd County, Kentucky"	78260161	166319	3668	243	1346	1317	503	249	10	0
