bgp1990gj,tr2010gj,tr2010ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G210111092104480000132039999999452011,G2101110009700,21111009700,1,1,1,1,1,1,1,1
G21011109210448558010004039999999452015,G2101110010004,21111010004,1,1,1,1,1,1,1,1
G21011109210448558010004039999999452016,G2101110010004,21111010004,1,1,1,1,1,1,1,1
G21011109210448558010004049999999452015,G2101110010004,21111010004,1,1,1,1,1,1,1,1
G21011109210448558010005049999999452013,G2101110010005,21111010005,0.9318082162,1,1,1,1,1,1,1
G21011109210448558010005049999999452013,G2101110010102,21111010102,0.0681917838,0,0,0,0,0,0,0
G21011109210448558010005049999999452014,G2101110010005,21111010005,1,1,1,1,1,1,1,1
G21011109210448558010006049999999452013,G2101110010006,21111010006,1,1,1,1,1,1,1,1
G21011109210448558010101049999999452011,G2101110010103,21111010103,1,1,1,1,1,1,1,1
G21011109210448558010101049999999452012,G2101110010103,21111010103,1,1,1,1,1,1,1,1
G21011109210448558010101049999999452013,G2101110010103,21111010103,0.1653005528,0.1917177914,0.1728187919,0.2857142857,0.1464646465,0.1306122449,0.4227642276,0.021978022
G21011109210448558010101049999999452013,G2101110010104,21111010104,0.8346994472,0.8082822086,0.8271812081,0.7142857143,0.8535353535,0.8693877551,0.5772357724,0.978021978
G21011109210448558010101049999999452014,G2101110010104,21111010104,1,1,1,1,1,1,1,1
G21011109210448558010101049999999452015,G2101110010104,21111010104,1,1,1,1,1,1,1,1
G21011109210448558010102049999999452012,G2101110010102,21111010102,1,1,1,1,1,1,1,1
G21011109210448558010102049999999452019,G2101110010102,21111010102,1,1,1,1,1,1,1,1
G21011109210448558010401049999999452019,G2101110010102,21111010102,0.0218204401,0,0,0,0,0,0,0
G21011109210448558010401049999999452019,G2101110010406,21111010406,0.9781795599,1,1,1,1,1,1,1
G21011109210448648011403039999999452013,G2101110011403,21111011403,1,1,1,1,1,1,1,1
G21011109210448648011403039999999452014,G2101110011403,21111011403,1,1,1,1,1,1,1,1
G21011109210449800010304049999999452012,G2101110010309,21111010309,1,1,1,1,1,1,1,1
G21011109210449800010304049999999452019,G2101110010309,21111010309,1,1,1,1,1,1,1,1
G21011109210450412010001049999999452013,G2101110010001,21111010001,1,1,1,1,1,1,1,1
G21011109210451176010005049999999452011,G2101110010005,21111010005,1,1,1,1,1,1,1,1
G21011109210451176010005049999999452013,G2101110010005,21111010005,1,1,1,1,1,1,1,1
G21011109210451258010006049999999452011,G2101110010006,21111010006,1,1,1,1,1,1,1,1
G21011109210451258010304049999999452019,G2101110010309,21111010309,1,1,1,1,1,1,1,1
G210111092104512940108039999999452014,G2101110010800,21111010800,1,1,1,1,1,1,1,1
G21011109210451978010302049999999452019,G2101110010316,21111010316,0.1951179713,0,0,0,0,0,0,0
G21011109210451978010302049999999452019,G2101110010406,21111010406,0.8048820287,1,1,1,1,1,1,1
G21011109210451978010401049999999452012,G2101110010405,21111010405,0.0857696571,0.0868935554,0.0952380952,0.0887850467,0.0919732441,0.0916530278,0.1094147583,0.0585365854
G21011109210451978010401049999999452012,G2101110010406,21111010406,0.9142303429,0.9131064446,0.9047619048,0.9112149533,0.9080267559,0.9083469722,0.8905852417,0.9414634146
G21011109210451978010401049999999452015,G2101110010405,21111010405,0.9795788408,1,1,1,1,1,1,1
G21011109210451978010401049999999452015,G2101110010406,21111010406,0.0204211592,0,0,0,0,0,0,0
G21011109210451978010402049999999452011,G2101110010402,21111010402,1,1,1,1,1,1,1,1
G21011109210451978010402049999999452012,G2101110010402,21111010402,1,1,1,1,1,1,1,1
G21011109210451978010402049999999452013,G2101110010402,21111010402,0.9990394938,0.9978943815,0.997618701,0.9976596213,0.997497095,0.997497095,0.9973882731,1
G21011109210451978010402049999999452013,G2101110010706,21111010706,0.0009605062,0.0021056185,0.002381299,0.0023403787,0.002502905,0.002502905,0.0026117269,0
G21011109210451978010402049999999452014,G2101110010402,21111010402,1,1,1,1,1,1,1,1
G21011109210451978010402049999999452019,G2101110010402,21111010402,0.9927216315,1,1,1,1,1,1,1
G21011109210451978010402049999999452019,G2101110010706,21111010706,0.0072783685,0,0,0,0,0,0,0
G21011109210451978010706049999999452013,G2101110010706,21111010706,1,1,1,1,1,1,1,1
G21011109210451978010706049999999452014,G2101110010402,21111010402,0.1180272133,0,0,0,0,0,0,0
G21011109210451978010706049999999452014,G2101110010706,21111010706,0.8819727867,1,1,1,1,1,1,1
G21011109210452680011901039999999452011,G2101110011901,21111011901,0.993165759,0.9975935041,0.9981949653,0.997766179,0.9980570428,0.9981104985,0.9977007219,0.9999794157
G21011109210452680011901039999999452011,G2101110012001,21111012001,0.0068175344,0.0023952096,0.001793722,0.0022222222,0.0019305019,0.0018761726,0.0022883295,0
G21011109210452680011901039999999452011,G2101110012002,21111012002,0.0000167066,0.0000112863,0.0000113128,0.0000115988,0.0000124553,0.0000133289,0.0000109485,0.0000205843
G21011109210452680012001049999999452019,G2101110011901,21111011901,0.1388037107,0,0,0,0,0,0,0
G21011109210452680012001049999999452019,G2101110012001,21111012001,0.8611962893,1,1,1,1,1,1,1
G21011109210452842007501049999999452014,G2101110007501,21111007501,1,1,1,1,1,1,1,1
G210111092104528420077049999999452011,G2101110007700,21111007700,1,1,1,1,1,1,1,1
G210111092104528420077049999999452012,G2101110007700,21111007700,1,1,1,1,1,1,1,1
G21011109210453328010005049999999452013,G2101110010005,21111010005,1,1,1,1,1,1,1,1
G21011109210454660010002049999999452011,G2101110010008,21111010008,0.9954376949,0.9987628559,0.9985734873,0.9988938749,0.9985974623,0.9986244342,0.9985835758,1
G21011109210454660010002049999999452011,G2101110010309,21111010309,0.0045623051,0.0012371441,0.0014265127,0.0011061251,0.0014025377,0.0013755658,0.0014164242,0
G21011109210454660010002049999999452019,G2101110010008,21111010008,0.9012140886,0.9915677999,0.9915642373,0.9915417778,0.9915704003,0.9915722695,0.9915379409,0.9915870533
G21011109210454660010002049999999452019,G2101110010309,21111010309,0.0987859114,0.0084322001,0.0084357627,0.0084582222,0.0084295997,0.0084277305,0.0084620591,0.0084129467
G21011109210455542011301039999999452011,G2101110011301,21111011301,1,1,1,1,1,1,1,1
G21011109210455542011301039999999452017,G2101110011301,21111011301,1,1,1,1,1,1,1,1
