tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G2100150070606,21015070606,G2100150070301,21015070301,0.0048118441,0.0004804228,0.000700035,0.0009165903,0.00066313,0.0005899705,0,0.0021008403
G2100150070606,21015070606,G2100150070606,21015070606,0.9951881559,0.9995195772,0.999299965,0.9990834097,0.99933687,0.9994100295,1,0.9978991597
G2100150070607,21015070607,G2100150070607,21015070607,1,1,1,1,1,1,1,1
G2100150980100,21015980100,G2100150980100,21015980100,1,1,1,1,1,1,1,1
G2100170030100,21017030100,G2100170030101,21017030101,0.2291522371,0.5256740308,0.5093433024,0.513129616,0.551552714,0.5681651032,0.428836533,0.7090844407
G2100170030100,21017030100,G2100170030102,21017030102,0.7708477629,0.4743259692,0.4906566976,0.486870384,0.448447286,0.4318348968,0.571163467,0.2909155593
G2100170030100,21017030100,G2100170030600,21017030600,0,0,0,0,0,0,0,0
G2100170030200,21017030200,G2100170030201,21017030201,0.7213154134,0.7057161848,0.7002007584,0.7182389937,0.6734527687,0.6528988253,0.7327964861,0.5990825688
G2100170030200,21017030200,G2100170030202,21017030202,0.2786845866,0.2942838152,0.2997992416,0.2817610063,0.3265472313,0.3471011747,0.2672035139,0.4009174312
G2100170030300,21017030300,G2100170030300,21017030300,1,1,1,1,1,1,1,1
G2100170030400,21017030400,G2100170030101,21017030101,0.0001386607,0,0,0,0,0,0,0
G2100170030400,21017030400,G2100170030400,21017030400,0.9998613393,1,1,1,1,1,1,1
G2100170030500,21017030500,G2100170030101,21017030101,0.0016997724,0,0,0,0,0,0,0
G2100170030500,21017030500,G2100170030500,21017030500,0.9983002276,1,1,1,1,1,1,1
G2100170030600,21017030600,G2100170030102,21017030102,0,0,0,0,0,0,0,0
G2100170030600,21017030600,G2100170030600,21017030600,1,1,1,1,1,1,1,1
G2100190030200,21019030200,G2100190030200,21019030200,0.9802073193,1,1,1,1,1,1,1
G2100190030200,21019030200,G2100190030400,21019030400,0.0148363762,0,0,0,0,0,0,0
G2100190030200,21019030200,G2100190030900,21019030900,0.0049563046,0,0,0,0,0,0,0
G2100190030300,21019030300,G2100190030300,21019030300,0.9748037189,0.9969230534,0.9969177755,0.9977213498,0.9972417055,0.9975836817,0.9975201445,0.9969620318
G2100190030300,21019030300,G2100190030800,21019030800,0.0251962811,0.0030769466,0.0030822245,0.0022786502,0.0027582945,0.0024163183,0.0024798555,0.0030379682
G2100190030400,21019030400,G2100190030200,21019030200,0.0012234794,0,0,0,0,0,0,0
G2100190030400,21019030400,G2100190030400,21019030400,0.9987765206,1,1,1,1,1,1,1
G2100190030500,21019030500,G2100190030400,21019030400,0.0003960744,0,0,0,0,0,0,0
